Date,Portfolio,Market_Excess,SMB,HML,RMW,CMA,RF,Portfolio_Excess
2013-01-03,-0.005065706,-0.0014,0.0014,0.0004,0.002,0.0023,2.5e-05,-0.005091
2013-01-04,0.00402379,0.0055,0.0019,0.0043,-0.0037,0.0027,2.5e-05,0.003999
2013-01-07,0.004420937,-0.0031,-0.0009,-0.0037,-0.0013,-0.0012,2.5e-05,0.004396
2013-01-08,-0.004659185,-0.0027,0.0004,-0.0007,-0.0012,0.0009,2.5e-05,-0.004684
2013-01-09,0.004636355,0.0034,0.0024,-0.0041,-0.0007,-0.0015,2.5e-05,0.004611
2013-01-10,0.00770915,0.0066,-0.0059,0.0051,-0.0015,0.0003,2.5e-05,0.007684
2013-01-11,0.003777133,0.0002,0.0004,-0.0045,0.0019,-0.0021,2.5e-05,0.003752
2013-01-14,-0.005627707,-0.0006,0.0003,-0.0008,-0.0008,0.0037,2.5e-05,-0.005653
2013-01-15,-0.005215916,0.0019,0.0028,0.0,-0.0005,0.0006,2.5e-05,-0.005241
2013-01-16,0.001091071,-0.0004,-0.0023,0.0023,-0.0006,-0.0003,2.5e-05,0.001066
2013-01-17,0.003075337,0.0061,0.0039,-0.0009,0.0015,-0.0002,2.5e-05,0.00305
2013-01-18,0.004265157,0.0029,0.0003,-0.0011,0.0018,0.0027,2.5e-05,0.00424
2013-01-22,0.003804994,0.0048,0.0022,0.0046,-0.0014,0.0011,2.5e-05,0.00378
2013-01-23,0.002830701,0.001,-0.0034,-0.0012,-0.0017,-0.0016,2.5e-05,0.002806
2013-01-24,-0.008521152,0.0009,0.0033,0.0005,-0.0002,0.0053,2.5e-05,-0.008546
2013-01-25,0.01000889,0.0059,-0.0006,-0.0028,-0.0014,-0.0016,2.5e-05,0.009984
2013-01-28,0.001777765,-0.0014,0.0035,0.0012,0.0002,-0.0005,2.5e-05,0.001753
2013-01-29,-0.004662569,0.0036,-0.0044,0.0036,-0.001,0.003,2.5e-05,-0.004688
2013-01-30,0.002188163,-0.0038,-0.0089,0.0012,-0.0007,0.0,2.5e-05,0.002163
2013-01-31,-0.005856452,-0.0008,0.0072,0.0019,-0.0021,0.001,2.5e-05,-0.005881
2013-02-01,0.003155945,0.0099,0.0008,0.0026,-0.0027,-0.0005,2.5e-05,0.003131
2013-02-04,-0.01687321,-0.0119,-0.001,-0.0015,0.0001,0.0002,2.5e-05,-0.016898
2013-02-05,0.01486033,0.0107,-0.0005,0.0018,-0.0002,-0.0011,2.5e-05,0.014835
2013-02-06,-0.0006220338,0.0015,0.003,0.0012,-0.0016,0.0004,2.5e-05,-0.000647
2013-02-07,0.001965954,-0.0015,-0.0008,0.0002,0.0017,-0.0004,2.5e-05,0.001941
2013-02-08,0.005145785,0.0058,0.0003,-0.0021,0.001,-0.0045,2.5e-05,0.005121
2013-02-11,-0.001552271,-0.0008,-0.0003,0.0039,-0.0019,0.0028,2.5e-05,-0.001577
2013-02-12,-0.001853304,0.0016,0.0026,0.0071,-0.0052,0.0045,2.5e-05,-0.001878
2013-02-13,0.009646717,0.0014,0.0008,-0.0002,-0.0005,-0.0006,2.5e-05,0.009622
2013-02-14,0.003145831,0.0011,0.0032,0.001,-0.0027,-0.002,2.5e-05,0.003121
2013-02-15,-0.004869084,-0.0011,0.0,-0.001,-0.0004,0.0013,2.5e-05,-0.004894
2013-02-19,0.01222407,0.0074,0.0025,0.0017,-0.0008,0.0034,2.5e-05,0.012199
2013-02-20,-0.01156877,-0.0136,-0.0061,-0.0064,0.0027,0.0011,2.5e-05,-0.011594
2013-02-21,-0.007921036,-0.0066,-0.0031,-0.0006,0.0009,0.0025,2.5e-05,-0.007946
2013-02-22,0.005121731,0.0094,0.0017,-0.0006,-0.0009,-0.0013,2.5e-05,0.005097
2013-02-25,-0.01517452,-0.0182,-0.0026,-0.0072,0.0065,-0.0039,2.5e-05,-0.0152
2013-02-26,0.004993339,0.0058,-0.0019,0.0002,-0.0002,0.0022,2.5e-05,0.004968
2013-02-27,0.00896211,0.0129,-0.0032,0.0016,-0.0021,0.0003,2.5e-05,0.008937
2013-02-28,-0.0004501449,-0.0005,0.001,-0.0016,0.0,0.0,2.5e-05,-0.000475
2013-03-01,0.001482887,0.0022,0.0011,-0.0033,-0.0012,0.0,2.5e-05,0.001458
2013-03-04,0.002568762,0.0047,-0.0041,0.001,-0.0039,0.0043,2.5e-05,0.002544
2013-03-05,0.008961964,0.01,0.002,-0.0017,0.0009,0.0,2.5e-05,0.008937
2013-03-06,-0.003239863,0.0018,0.0015,0.0047,-0.0019,0.0013,2.5e-05,-0.003265
2013-03-07,0.007240559,0.0027,0.0022,0.0042,-0.0015,-0.0002,2.5e-05,0.007216
2013-03-08,-0.001224697,0.0052,0.0038,-0.0015,-0.0002,0.0003,2.5e-05,-0.00125
2013-03-11,0.0008555874,0.003,-0.0028,0.0023,0.0005,0.0002,2.5e-05,0.000831
2013-03-12,-0.003169969,-0.0022,0.0004,-0.0013,0.0029,0.0007,2.5e-05,-0.003195
2013-03-13,-0.002720205,0.002,0.0023,0.0008,0.0012,0.0027,2.5e-05,-0.002745
2013-03-14,0.003091011,0.0058,0.0041,0.0039,-0.0003,-0.0001,2.5e-05,0.003066
2013-03-15,-0.005815793,-0.0019,0.0013,0.0043,0.0025,0.0,2.5e-05,-0.005841
2013-03-18,-0.003243481,-0.005,0.001,-0.0023,0.0038,-0.0004,2.5e-05,-0.003268
2013-03-19,-0.0009287575,-0.0024,-0.0006,0.0003,0.0009,0.0037,2.5e-05,-0.000954
2013-03-20,-0.001013755,0.0076,0.0022,0.0,-0.0029,0.0021,2.5e-05,-0.001039
2013-03-21,-0.006721412,-0.0085,0.0013,-0.0028,0.0001,0.0007,2.5e-05,-0.006746
2013-03-22,0.009343481,0.0062,-0.0052,-0.003,0.0011,-0.0015,2.5e-05,0.009318
2013-03-25,-0.005040939,-0.0029,0.003,0.0002,0.0014,-0.0003,2.5e-05,-0.005066
2013-03-26,0.005417466,0.0076,-0.0039,-0.0022,0.0007,-0.0004,2.5e-05,0.005392
2013-03-27,0.003339555,-0.0002,0.0012,-0.003,0.001,-0.001,2.5e-05,0.003315
