Date,USO
2007-01-03,0.957364
2007-01-04,0.918411
2007-01-05,0.926938
2007-01-08,0.920349
2007-01-09,0.916667
2007-01-10,0.87907
2007-01-11,0.859302
2007-01-12,0.864923
2007-01-16,0.839923
2007-01-17,0.856977
2007-01-18,0.837791
2007-01-19,0.861047
2007-01-22,0.849612
2007-01-23,0.88469
2007-01-24,0.893411
2007-01-25,0.877326
2007-01-26,0.896899
2007-01-29,0.871512
2007-01-30,0.91783
2007-01-31,0.934884
2007-02-01,0.927132
2007-02-02,0.956202
2007-02-05,0.95155
2007-02-06,0.953682
2007-02-07,0.935078
2007-02-08,0.964147
2007-02-09,0.968799
2007-02-12,0.937403
2007-02-13,0.956589
2007-02-14,0.938954
2007-02-15,0.937016
2007-02-16,0.956395
2007-02-20,0.943217
2007-02-21,0.966279
2007-02-22,0.975388
2007-02-23,0.977907
2007-02-26,0.986434
2007-02-27,0.968023
2007-02-28,0.991861
2007-03-01,0.993023
2007-03-02,0.988566
2007-03-05,0.961628
2007-03-06,0.975194
2007-03-07,0.993992
2007-03-08,0.993992
2007-03-09,0.971124
2007-03-12,0.956395
2007-03-13,0.94845
2007-03-14,0.952326
2007-03-15,0.943217
2007-03-16,0.938372
2007-03-19,0.943799
2007-03-20,0.939147
2007-03-21,0.945736
2007-03-22,0.972481
2007-03-23,0.980039
2007-03-26,0.991667
2007-03-27,0.992248
2007-03-28,1.007752
2007-03-29,1.039147
2007-03-30,1.033915
2007-04-02,1.037985
2007-04-03,1.016667
2007-04-04,1.014147
2007-04-05,1.007946
2007-04-09,0.975775
2007-04-10,0.980814
2007-04-11,0.977907
2007-04-12,1.000969
2007-04-13,0.99845
2007-04-16,0.992248
2007-04-17,0.974612
2007-04-18,0.971705
2007-04-19,0.953876
2007-04-20,0.969961
2007-04-23,0.992636
2007-04-24,0.97655
2007-04-25,0.994574
2007-04-26,0.987209
2007-04-27,1.004651
2007-04-30,0.993023
2007-05-01,0.975969
2007-05-02,0.961047
2007-05-03,0.955039
2007-05-04,0.936047
2007-05-07,0.931395
2007-05-08,0.942636
2007-05-09,0.930426
2007-05-10,0.93314
2007-05-11,0.941279
2007-05-14,0.941085
2007-05-15,0.949419
2007-05-16,0.940504
2007-05-17,0.972093
2007-05-18,0.97093
2007-05-21,0.984884
2007-05-22,0.967442
2007-05-23,0.972287
2007-05-24,0.948256
2007-05-25,0.959302
2007-05-29,0.937985
2007-05-30,0.934302
2007-05-31,0.948837
2007-06-01,0.958527
2007-06-04,0.975775
2007-06-05,0.96938
2007-06-06,0.975
2007-06-07,0.981589
2007-06-08,0.950775
2007-06-11,0.965892
2007-06-12,0.960465
2007-06-13,0.970736
2007-06-14,0.99031
2007-06-15,0.998643
2007-06-18,1.010465
2007-06-19,1.010078
2007-06-20,0.999031
2007-06-21,1.0
2007-06-22,1.00562
2007-06-25,1.006977
2007-06-26,0.990698
2007-06-27,1.005426
2007-06-28,1.016861
2007-06-29,1.027132
2007-07-02,1.037403
2007-07-03,1.037597
2007-07-05,1.049419
2007-07-06,1.05969
2007-07-09,1.053295
2007-07-10,1.060465
2007-07-11,1.059302
2007-07-12,1.060853
2007-07-13,1.076357
2007-07-16,1.08062
2007-07-17,1.078295
2007-07-18,1.096512
2007-07-19,1.106202
2007-07-20,1.104651
2007-07-23,1.092636
2007-07-24,1.068992
2007-07-25,1.113178
2007-07-26,1.089535
2007-07-27,1.118992
2007-07-30,1.114341
2007-07-31,1.134302
2007-08-01,1.11938
2007-08-02,1.118217
2007-08-03,1.093798
2007-08-06,1.050388
2007-08-07,1.053488
2007-08-08,1.051744
2007-08-09,1.042248
2007-08-10,1.039535
2007-08-13,1.043605
2007-08-14,1.050969
2007-08-15,1.068411
2007-08-16,1.038372
2007-08-17,1.047093
2007-08-20,1.037597
2007-08-21,1.016085
2007-08-22,1.014535
2007-08-23,1.020349
2007-08-24,1.039535
2007-08-27,1.052907
2007-08-28,1.047093
2007-08-29,1.07655
2007-08-30,1.075581
2007-08-31,1.081008
2007-09-04,1.099806
2007-09-05,1.10969
2007-09-06,1.116861
2007-09-07,1.11938
2007-09-10,1.139341
2007-09-11,1.142636
2007-09-12,1.162791
2007-09-13,1.166085
2007-09-14,1.158721
2007-09-17,1.175775
2007-09-18,1.202519
2007-09-19,1.198062
2007-09-20,1.214147
2007-09-21,1.204264
2007-09-24,1.198062
2007-09-25,1.183527
2007-09-26,1.195736
2007-09-27,1.229457
2007-09-28,1.212209
2007-10-01,1.193605
2007-10-02,1.19438
2007-10-03,1.187791
2007-10-04,1.213372
2007-10-05,1.206977
2007-10-08,1.177519
2007-10-09,1.189923
2007-10-10,1.209302
2007-10-11,1.232364
2007-10-12,1.24031
2007-10-15,1.276938
2007-10-16,1.298062
2007-10-17,1.291279
2007-10-18,1.321124
2007-10-19,1.301163
2007-10-22,1.289535
2007-10-23,1.275775
2007-10-24,1.317442
2007-10-25,1.358915
2007-10-26,1.379264
2007-10-29,1.405039
2007-10-30,1.347674
2007-10-31,1.419961
2007-11-01,1.398643
2007-11-02,1.440891
2007-11-05,1.425194
2007-11-06,1.460077
2007-11-07,1.443411
2007-11-08,1.435659
2007-11-09,1.449031
2007-11-12,1.410271
2007-11-13,1.374612
2007-11-14,1.406977
2007-11-15,1.401163
2007-11-16,1.432171
2007-11-19,1.443605
2007-11-20,1.498837
2007-11-21,1.481395
2007-11-23,1.487597
2007-11-26,1.477713
2007-11-27,1.439923
2007-11-28,1.391473
2007-11-29,1.388372
2007-11-30,1.354845
2007-12-03,1.370155
2007-12-04,1.344961
2007-12-05,1.331202
2007-12-06,1.376357
2007-12-07,1.345543
2007-12-10,1.344186
2007-12-11,1.361628
2007-12-12,1.432171
2007-12-13,1.418023
2007-12-14,1.400388
2007-12-17,1.393217
2007-12-18,1.378101
2007-12-19,1.398256
2007-12-20,1.397287
2007-12-21,1.430233
2007-12-24,1.43314
2007-12-26,1.471124
2007-12-27,1.477713
2007-12-28,1.470736
2007-12-31,1.468217
2008-01-02,1.520737
2008-01-03,1.518799
2008-01-04,1.498256
2008-01-07,1.463178
2008-01-08,1.474031
2008-01-09,1.458333
2008-01-10,1.434496
2008-01-11,1.416473
2008-01-14,1.438954
2008-01-15,1.410465
2008-01-16,1.392442
2008-01-17,1.37655
2008-01-18,1.386434
2008-01-22,1.367248
2008-01-23,1.346899
2008-01-24,1.374612
2008-01-25,1.393605
2008-01-28,1.402132
2008-01-29,1.414341
2008-01-30,1.416279
2008-01-31,1.402132
2008-02-01,1.365698
2008-02-04,1.38314
2008-02-05,1.359496
2008-02-06,1.337597
2008-02-07,1.352713
2008-02-08,1.412791
2008-02-11,1.444768
2008-02-12,1.426163
2008-02-13,1.43624
2008-02-14,1.468217
2008-02-15,1.471512
2008-02-19,1.527326
2008-02-20,1.537209
2008-02-21,1.498644
2008-02-22,1.523256
2008-02-25,1.525969
2008-02-26,1.552326
2008-02-27,1.529457
2008-02-28,1.57907
2008-02-29,1.558527
2008-03-03,1.575969
2008-03-04,1.53876
2008-03-05,1.614341
2008-03-06,1.625775
2008-03-07,1.622675
2008-03-10,1.659496
2008-03-11,1.673256
2008-03-12,1.684496
2008-03-13,1.690116
2008-03-14,1.67655
2008-03-17,1.614341
2008-03-18,1.662791
2008-03-19,1.594768
2008-03-20,1.575582
2008-03-24,1.555426
2008-03-25,1.578876
2008-03-26,1.643605
2008-03-27,1.661434
2008-03-28,1.635078
2008-03-31,1.576744
2008-04-01,1.57093
2008-04-02,1.623643
2008-04-03,1.621124
2008-04-04,1.644961
2008-04-07,1.68469
2008-04-08,1.689729
2008-04-09,1.722868
2008-04-10,1.708915
2008-04-11,1.714729
2008-04-14,1.737209
2008-04-15,1.772093
2008-04-16,1.785853
2008-04-17,1.790116
2008-04-18,1.817636
2008-04-21,1.82907
2008-04-22,1.842636
2008-04-23,1.844574
2008-04-24,1.806202
2008-04-25,1.853876
2008-04-28,1.854457
2008-04-29,1.802132
2008-04-30,1.792636
2008-05-01,1.75155
2008-05-02,1.810078
2008-05-05,1.874806
2008-05-06,1.906589
2008-05-07,1.934109
2008-05-08,1.950775
2008-05-09,1.97907
2008-05-12,1.940116
2008-05-13,1.971124
2008-05-14,1.942248
2008-05-15,1.942054
2008-05-16,1.981977
2008-05-19,1.992248
